id,user_id,action_type_id,value,points_awarded,date
1,1,1,7.63,2,2025-10-08
2,1,2,179.34,0,2025-10-08
3,1,3,8.0,2,2025-10-08
4,1,4,0.73,17,2025-10-08
5,1,5,4.0,4,2025-10-08
6,1,7,1.0,2,2025-10-08
7,1,1,14.41,3,2025-10-09
8,1,2,125.89,0,2025-10-09
9,1,3,8.0,2,2025-10-09
10,1,4,1.58,12,2025-10-09
11,1,5,5.0,3,2025-10-09
12,1,1,3.16,1,2025-10-10
13,1,2,10.55,1,2025-10-10
14,1,3,4.0,4,2025-10-10
15,1,4,1.95,10,2025-10-10
16,1,5,1.0,10,2025-10-10
17,1,1,12.51,3,2025-10-11
18,1,2,153.08,0,2025-10-11
19,1,3,8.0,2,2025-10-11
20,1,4,1.34,13,2025-10-11
21,1,5,1.0,10,2025-10-11
22,1,1,19.07,4,2025-10-12
23,1,2,166.81,0,2025-10-12
24,1,4,1.32,13,2025-10-12
25,1,5,3.0,5,2025-10-12
26,1,6,1.0,1,2025-10-12
27,1,1,17.57,4,2025-10-13
28,1,2,151.38,0,2025-10-13
29,1,3,4.0,4,2025-10-13
30,1,4,0.71,18,2025-10-13
31,1,5,1.0,10,2025-10-13
32,1,1,1.71,0,2025-10-14
33,1,2,92.62,0,2025-10-14
34,1,3,1.0,10,2025-10-14
35,1,4,1.96,10,2025-10-14
36,1,5,4.0,4,2025-10-14
37,1,1,9.51,2,2025-10-15
38,1,2,103.47,0,2025-10-15
39,1,3,4.0,4,2025-10-15
40,1,4,1.2,14,2025-10-15
41,1,5,4.0,4,2025-10-15
42,1,1,10.79,2,2025-10-16
43,1,2,134.09,0,2025-10-16
44,1,3,3.0,5,2025-10-16
45,1,4,1.51,12,2025-10-16
46,1,5,3.0,5,2025-10-16
47,1,1,8.76,2,2025-10-17
48,1,2,97.99,0,2025-10-17
49,1,3,1.0,10,2025-10-17
50,1,4,0.72,17,2025-10-17
51,1,1,4.6,1,2025-10-18
52,1,2,47.44,0,2025-10-18
53,1,3,1.0,10,2025-10-18
54,1,4,1.5,12,2025-10-18
55,1,1,17.19,3,2025-10-19
56,1,2,22.05,0,2025-10-19
57,1,3,3.0,5,2025-10-19
58,1,4,0.77,17,2025-10-19
59,1,5,3.0,5,2025-10-19
60,1,1,18.71,4,2025-10-20
61,1,2,107.08,0,2025-10-20
62,1,3,7.0,2,2025-10-20
63,1,4,0.71,18,2025-10-20
64,1,5,3.0,5,2025-10-20
65,1,1,1.94,0,2025-10-21
66,1,2,83.28,0,2025-10-21
67,1,3,6.0,3,2025-10-21
68,1,4,1.0,15,2025-10-21
69,1,5,5.0,3,2025-10-21
70,1,1,12.92,3,2025-10-22
71,1,2,20.3,0,2025-10-22
72,1,3,5.0,3,2025-10-22
73,1,4,1.66,11,2025-10-22
74,1,1,8.97,2,2025-10-23
75,1,2,81.72,0,2025-10-23
76,1,3,4.0,4,2025-10-23
77,1,4,1.09,14,2025-10-23
78,1,1,11.01,2,2025-10-24
79,1,2,18.6,1,2025-10-24
80,1,3,8.0,2,2025-10-24
81,1,4,1.72,11,2025-10-24
82,1,1,3.33,1,2025-10-25
83,1,2,92.56,0,2025-10-25
84,1,3,3.0,5,2025-10-25
85,1,4,1.77,11,2025-10-25
86,1,7,1.0,2,2025-10-25
87,1,1,7.81,2,2025-10-26
88,1,2,167.51,0,2025-10-26
89,1,3,7.0,2,2025-10-26
90,1,4,0.78,17,2025-10-26
91,1,5,5.0,3,2025-10-26
92,1,1,11.12,2,2025-10-27
93,1,2,132.13,0,2025-10-27
94,1,3,2.0,7,2025-10-27
95,1,4,0.62,18,2025-10-27
96,1,5,1.0,10,2025-10-27
97,1,1,10.84,2,2025-10-28
98,1,2,137.16,0,2025-10-28
99,1,4,0.39,22,2025-10-28
100,1,5,3.0,5,2025-10-28
101,1,1,3.15,1,2025-10-29
102,1,2,173.33,0,2025-10-29
103,1,3,1.0,10,2025-10-29
104,1,4,1.75,11,2025-10-29
105,1,1,4.7,1,2025-10-30
106,1,2,30.38,0,2025-10-30
107,1,3,9.0,2,2025-10-30
108,1,4,0.72,17,2025-10-30
109,1,5,4.0,4,2025-10-30
110,1,1,13.15,3,2025-10-31
111,1,2,106.09,0,2025-10-31
112,1,3,5.0,3,2025-10-31
113,1,4,1.89,10,2025-10-31
114,1,5,1.0,10,2025-10-31
115,1,1,5.31,1,2025-11-01
116,1,2,32.25,0,2025-11-01
117,1,3,10.0,2,2025-11-01
118,1,4,0.81,17,2025-11-01
119,1,5,2.0,7,2025-11-01
120,1,1,0.19,0,2025-11-02
121,1,2,115.6,0,2025-11-02
122,1,3,9.0,2,2025-11-02
123,1,4,1.99,10,2025-11-02
124,1,1,2.65,1,2025-11-03
125,1,2,69.33,0,2025-11-03
126,1,3,1.0,10,2025-11-03
127,1,4,1.79,11,2025-11-03
128,1,5,2.0,7,2025-11-03
129,1,1,10.86,2,2025-11-04
130,1,2,61.43,0,2025-11-04
131,1,3,10.0,2,2025-11-04
132,1,4,1.2,14,2025-11-04
133,1,5,5.0,3,2025-11-04
134,1,1,13.27,3,2025-11-05
135,1,2,169.62,0,2025-11-05
136,1,3,2.0,7,2025-11-05
137,1,4,0.75,17,2025-11-05
138,1,1,5.64,1,2025-11-06
139,1,2,45.81,0,2025-11-06
140,1,3,5.0,3,2025-11-06
141,1,4,0.65,18,2025-11-06
142,1,5,5.0,3,2025-11-06
143,2,1,5.02,1,2025-10-08
144,2,2,164.39,0,2025-10-08
145,2,4,0.46,21,2025-10-08
146,2,5,3.0,5,2025-10-08
147,2,1,6.67,1,2025-10-09
148,2,2,32.24,0,2025-10-09
149,2,3,4.0,4,2025-10-09
150,2,4,0.57,19,2025-10-09
151,2,5,3.0,5,2025-10-09
152,2,1,0.19,0,2025-10-10
153,2,2,22.79,0,2025-10-10
154,2,3,2.0,7,2025-10-10
155,2,4,1.23,13,2025-10-10
156,2,5,2.0,7,2025-10-10
157,2,1,2.55,1,2025-10-11
158,2,2,62.4,0,2025-10-11
159,2,4,1.83,11,2025-10-11
160,2,5,1.0,10,2025-10-11
161,2,1,7.07,1,2025-10-12
162,2,2,105.18,0,2025-10-12
163,2,3,6.0,3,2025-10-12
164,2,4,1.96,10,2025-10-12
165,2,5,5.0,3,2025-10-12
166,2,1,17.29,3,2025-10-13
167,2,2,175.96,0,2025-10-13
168,2,3,2.0,7,2025-10-13
169,2,4,1.8,11,2025-10-13
170,2,1,15.65,3,2025-10-14
171,2,2,79.99,0,2025-10-14
172,2,3,10.0,2,2025-10-14
173,2,4,1.77,11,2025-10-14
174,2,5,1.0,10,2025-10-14
175,2,1,2.16,0,2025-10-15
176,2,2,158.27,0,2025-10-15
177,2,3,7.0,2,2025-10-15
178,2,4,0.68,18,2025-10-15
179,2,5,3.0,5,2025-10-15
180,2,1,17.43,3,2025-10-16
181,2,2,47.9,0,2025-10-16
182,2,3,10.0,2,2025-10-16
183,2,4,0.63,18,2025-10-16
184,2,5,2.0,7,2025-10-16
185,2,1,15.47,3,2025-10-17
186,2,2,69.69,0,2025-10-17
187,2,3,8.0,2,2025-10-17
188,2,4,0.98,15,2025-10-17
189,2,5,4.0,4,2025-10-17
190,2,7,1.0,2,2025-10-17
191,2,1,17.54,4,2025-10-18
192,2,2,54.41,0,2025-10-18
193,2,3,9.0,2,2025-10-18
194,2,4,1.94,10,2025-10-18
195,2,5,2.0,7,2025-10-18
196,2,1,6.91,1,2025-10-19
197,2,2,143.69,0,2025-10-19
198,2,3,6.0,3,2025-10-19
199,2,4,1.33,13,2025-10-19
200,2,5,4.0,4,2025-10-19
201,2,1,3.8,1,2025-10-20
202,2,2,17.55,1,2025-10-20
203,2,3,6.0,3,2025-10-20
204,2,4,0.3,23,2025-10-20
205,2,5,4.0,4,2025-10-20
206,2,1,14.74,3,2025-10-21
207,2,2,43.5,0,2025-10-21
208,2,3,6.0,3,2025-10-21
209,2,4,0.42,21,2025-10-21
210,2,5,5.0,3,2025-10-21
211,2,1,13.27,3,2025-10-22
212,2,2,31.19,0,2025-10-22
213,2,3,4.0,4,2025-10-22
214,2,4,1.16,14,2025-10-22
215,2,5,5.0,3,2025-10-22
216,2,1,5.91,1,2025-10-23
217,2,2,31.64,0,2025-10-23
218,2,3,6.0,3,2025-10-23
219,2,4,1.43,12,2025-10-23
220,2,5,3.0,5,2025-10-23
221,2,1,12.31,2,2025-10-24
222,2,2,61.16,0,2025-10-24
223,2,3,8.0,2,2025-10-24
224,2,4,1.72,11,2025-10-24
225,2,5,2.0,7,2025-10-24
226,2,1,11.6,2,2025-10-25
227,2,2,121.3,0,2025-10-25
228,2,3,7.0,2,2025-10-25
229,2,4,1.05,15,2025-10-25
230,2,5,5.0,3,2025-10-25
231,2,1,18.02,4,2025-10-26
232,2,2,145.32,0,2025-10-26
233,2,3,2.0,7,2025-10-26
234,2,4,1.42,12,2025-10-26
235,2,5,2.0,7,2025-10-26
236,2,1,6.7,1,2025-10-27
237,2,2,149.13,0,2025-10-27
238,2,3,3.0,5,2025-10-27
239,2,4,1.44,12,2025-10-27
240,2,5,1.0,10,2025-10-27
241,2,1,0.92,0,2025-10-28
242,2,2,177.27,0,2025-10-28
243,2,3,9.0,2,2025-10-28
244,2,4,1.74,11,2025-10-28
245,2,1,11.51,2,2025-10-29
246,2,2,132.12,0,2025-10-29
247,2,3,6.0,3,2025-10-29
248,2,4,1.14,14,2025-10-29
249,2,5,1.0,10,2025-10-29
250,2,1,17.85,4,2025-10-30
251,2,2,156.27,0,2025-10-30
252,2,3,1.0,10,2025-10-30
253,2,4,1.62,11,2025-10-30
254,2,5,1.0,10,2025-10-30
255,2,1,10.36,2,2025-10-31
256,2,2,18.54,1,2025-10-31
257,2,3,3.0,5,2025-10-31
258,2,4,1.86,10,2025-10-31
259,2,1,13.35,3,2025-11-01
260,2,2,177.94,0,2025-11-01
261,2,3,9.0,2,2025-11-01
262,2,4,0.84,16,2025-11-01
263,2,5,3.0,5,2025-11-01
264,2,1,10.1,2,2025-11-02
265,2,2,151.2,0,2025-11-02
266,2,3,8.0,2,2025-11-02
267,2,4,1.06,15,2025-11-02
268,2,5,1.0,10,2025-11-02
269,2,1,5.18,1,2025-11-03
270,2,2,52.03,0,2025-11-03
271,2,3,10.0,2,2025-11-03
272,2,4,0.77,17,2025-11-03
273,2,5,4.0,4,2025-11-03
274,2,1,8.8,2,2025-11-04
275,2,2,131.3,0,2025-11-04
276,2,3,3.0,5,2025-11-04
277,2,4,0.76,17,2025-11-04
278,2,5,2.0,7,2025-11-04
279,2,1,3.02,1,2025-11-05
280,2,2,75.12,0,2025-11-05
281,2,3,2.0,7,2025-11-05
282,2,4,1.5,12,2025-11-05
283,2,1,9.32,2,2025-11-06
284,2,2,20.59,0,2025-11-06
285,2,3,6.0,3,2025-11-06
286,2,4,0.96,15,2025-11-06
287,2,5,4.0,4,2025-11-06
288,2,7,1.0,2,2025-11-06
289,3,1,17.61,4,2025-10-08
290,3,2,107.87,0,2025-10-08
291,3,3,7.0,2,2025-10-08
292,3,4,0.31,23,2025-10-08
